protein_A,protein_B,interacts
P98175,P07237,No
Q8NEM0,Q12824,Yes
Q92993,P02774,No
O75525,Q15758,No
P78364,Q8N5F7,No
P53350,Q9UQ90,No
P21246,P05090,No
O95630,Q9NPA8,No
Q12824,Q05193,No
Q96GD3,Q9UBS3,No
P00918,O94953,No
Q8TBC4,P63146,Yes
Q14155,Q99759,No
Q96RL1,Q13625,No
Q8WV44,Q8IVM0,No
P10451,Q13232,No
P07602,Q13541,No
P46379,P60903,No
Q8N6T3,P31943,No
Q9NWV4,O95760,No
Q8IWV7,P11142,No
P02647,P19256,No
Q8NEV4,Q09013,No
Q01101,O43504,No
P08631,O43639,No
Q16881,O15235,No
P00918,P0DP23,Yes
P52298,Q92621,Yes
Q12929,P05556,Yes
Q9UQ90,Q5SZQ8,No
O14744,Q15233,Yes
O75400,Q9H095,No
P30086,Q9NYQ6,No
Q8WWQ0,Q15059,Yes
P60880,Q99873,No
Q13263,P23381,Yes
Q8WWI1,Q16658,Yes
Q9NWV4,P55212,No
Q15262,O14526,No
P37268,Q9ULU8,No
P60709,P07437,Yes
O00499,Q8WUM4,No
P23381,Q06609,No
Q9NWV4,P52756,No
P07900,P46531,No
Q9HC35,Q13227,Yes
P04637,Q9H4M7,No
P59998,P01040,No
P01023,Q86YV5,No
Q96E40,O95372,No
P53602,Q13227,No
P57060,P55854,No
P63165,Q96RL1,Yes
Q99584,Q16760,No
O75348,P78417,No
Q53H47,P42568,No
Q96IZ0,Q13123,No
Q6IAA8,P42356,No
Q96B36,P11172,No
Q99963,Q9GZQ8,No
Q15910,P19793,Yes
Q8IWR0,P01040,No
Q9UQF2,Q96FE5,No
O14775,O15211,No
Q01101,P09429,No
Q93091,Q9NQC3,No
O60885,P11142,Yes
P38936,P54274,No
Q14194,O14775,No
Q13547,Q9HCU9,Yes
P08758,P04406,Yes
Q9UPY8,Q8N159,No
P49903,Q9H095,No
Q15262,Q9NPA8,No
Q13426,P05154,No
Q6IAA8,Q13867,No
P11597,P53041,No
P11142,Q07866,No
P51114,Q9UH03,No
O60885,P26447,Yes
P10451,Q9Y295,No
O76003,Q15560,No
O75689,P62070,No
Q9UEU0,P04181,No
P60033,Q9UQL6,No
P08670,P49903,No
Q9BQ04,Q9UHF0,No
Q10570,Q9BV38,Yes
Q96E40,P21673,No
O14732,Q14318,No
P04844,Q14318,No
Q9NTK5,O96007,No
O94953,Q9BY11,No
Q969G6,Q8TBC4,No
P13686,Q9BV38,No
P08670,Q9NVJ2,No
Q9Y2S7,P33552,No
Q86XP3,Q9NX58,No
O00762,Q9NZL4,No
Q969X0,Q9BPX5,No
Q13158,P55212,No
Q05516,P42858,Yes
P24534,O43927,No
Q16621,P63279,No
P02792,O75569,No
P24394,Q13113,No
Q9Y2U9,Q9UMR2,Yes
Q9NRC8,Q9NS87,No
O00291,P80098,No
Q13547,Q96EP1,Yes
Q12824,Q00536,No
O14744,Q00536,No
Q8NEV4,P34913,No
P08243,P07814,Yes
P63167,Q9UNZ2,No
Q9Y4W6,P62979,No
Q6P1J9,P05198,Yes
O00291,Q9Y483,No
P68104,Q9BPU6,No
P35914,P42330,No
P22736,Q15005,No
P14902,Q08945,No
Q14524,O14526,No
O75962,Q8IWE5,No
O60671,Q03013,No
P00533,P29350,Yes
P68036,P55769,No
Q14558,P68400,No
Q04724,P55854,No
P04156,P42858,Yes
P52756,Q92879,Yes
Q9UPT6,Q92956,No
Q9UKV3,Q9BXR0,No
Q9P2J2,Q9UK32,No
P0CG48,Q13263,Yes
P19256,Q15434,No
P98175,Q13227,No
P10451,Q9Y6Y0,No
P04406,O60885,Yes
Q14558,Q96HL8,No
O94761,Q99627,Yes
Q9NSD9,O94761,Yes
Q8IWV7,Q9NZM3,No
P42356,Q9H4M7,No
P42773,Q8NFP9,No
Q8WY91,Q15011,No
O94953,O60885,No
P14866,O43504,No
O15530,Q969H8,No
P30153,P16284,Yes
P61221,O15235,Yes
P07814,P22607,No
Q00610,P11142,Yes
P09466,O00560,No
O43504,Q03405,No
Q9GZT6,O95696,No
P62937,Q9H5I1,No
Q13239,P17540,No
Q13148,Q15645,Yes
Q9NWY4,Q13765,No
O00422,P61077,No
P02787,P11142,No
Q12852,Q9UNN8,No
Q04724,Q15005,No
P61026,Q8N2Y8,No
Q9P2J2,Q8IXH7,No
Q9UNN8,P07737,No
P23284,Q15005,No
Q15645,Q8NCC3,No
O00422,Q92598,No
Q05516,P06746,No
O60885,O75534,Yes
Q05516,O60828,No
P61026,P34913,No
P18858,P50616,No
P53602,P39748,No
Q9H773,P58340,No
P11309,P32249,No
P19419,P07237,No
P09466,P30084,No
Q92598,P10809,Yes
Q9NTG7,Q8N8Q3,No
P06576,P47756,Yes
P12429,P12429,No
Q9Y296,P07858,No
Q86VP1,Q96Q04,No
P02766,Q13325,No
P29692,O60315,No
O95251,O75899,No
P07814,P45984,No
P13497,P80098,No
P83916,Q12824,Yes
Q14155,O95831,No
Q13526,O15169,Yes
Q13432,Q9ULC4,No
Q6P1J9,Q13085,Yes
P23284,O43809,No
P61088,P07108,Yes
P78364,O14526,No
Q12809,Q02363,No
Q16658,P02774,No
P14866,Q9UQL6,Yes
Q01082,Q13469,No
Q16539,P00491,No
Q9BYC9,O14832,No
P21579,Q14240,No
Q13501,Q9UER7,Yes
Q15434,P60484,No
Q14790,P19256,No
Q14240,O15371,Yes
P21964,P60709,Yes
Q8TBC3,P04899,No
O95163,P26358,No
P26358,O60885,Yes
Q16621,Q9H5I1,No
Q08945,P06746,Yes
Q15554,O75319,Yes
Q9P287,Q96E40,No
Q93015,O95425,No
P05090,Q9NUT2,No
Q86VP1,P41220,No
Q12824,O95696,No
P61289,Q9NPJ4,No
P38936,O60701,No
Q13227,Q96JB3,No
Q96BY9,Q92692,No
P26641,Q13813,No
Q14690,Q969X6,Yes
Q9NSD9,O00267,Yes
O95568,P68402,No
Q9NX58,P0DP23,Yes
Q9Y4P8,O14907,No
P56470,Q06830,No
P22234,Q03013,No
P46379,Q8NEV4,No
O75398,P32942,No
P60520,P24593,No
Q9NWV4,Q8WXF1,No
Q93015,P54274,No
P48443,Q13838,No
Q9HCK4,O15211,No
P47897,P46531,No
Q92621,Q13263,Yes
Q12962,P21695,No
O94761,P63146,No
P54578,P68032,Yes
P26641,Q07666,No
P18669,P47929,No
P11597,P19367,No
P61026,P35609,No
P53350,Q06609,Yes
P04637,P60709,Yes
P14174,Q96AE4,No
P29762,P40926,No
Q9UHX1,P61006,No
O00151,P51965,No
P43034,Q8WWI1,No
Q9NPJ6,Q9H668,Yes
P39748,P16152,No
Q9NYY3,Q12809,No
O43570,P42568,No
Q8WYH8,Q13813,No
Q9P287,Q9Y4W6,No
Q7L5N1,Q15910,No
Q9Y5U2,Q13510,No
Q9Y4G2,P53041,No
P18858,Q07864,Yes
P30153,Q9UNI6,No
Q9P289,P62861,No
O00291,P05154,No
P50402,P07437,Yes
P23284,Q149N8,No
P02787,Q9BY11,No
P68871,P40926,No
P51114,O76003,No
Q96B36,P16152,No
Q13107,P55212,No
Q9H0B6,Q9UNZ2,No
Q96RR1,P68402,No
P11309,P50402,No
Q9UBT2,P22736,No
Q00403,Q13526,Yes
Q6IAA8,P61026,Yes
P84090,O14777,No
Q9Y237,P34896,No
O75398,Q99567,No
P55209,P21964,No
Q9UQF2,O95425,No
P62995,P22234,No
P09104,Q8WXF1,No
P62873,P26373,Yes
Q15233,O43809,Yes
Q8TBC3,Q14240,No
O14907,Q9Y265,No
O00291,Q9BXJ8,No
Q8NE71,P09429,No
P00533,P14091,No
P06576,O60333,No
O60260,P06746,No
P42858,Q8IYT8,No
Q9P287,O60493,No
Q9H0H5,P17540,No
P11172,P00533,Yes
Q16539,Q09472,No
Q9C026,O15381,No
P43307,P11021,Yes
Q6IAA8,Q15011,No
P36957,Q92990,No
O95568,O75874,No
Q92692,Q8NCC3,No
P50542,P04183,No
Q99653,Q9UKK9,No
O00273,Q13263,No
Q6PI98,P04181,No
O14775,P16403,No
Q06609,Q14683,Yes
P62979,P49848,Yes
O60884,Q15397,No
Q7Z3C6,Q06609,No
P30086,P35579,No
Q96CT7,Q8WXF1,Yes
P46379,Q92481,No
Q99081,Q9NUT2,No
P04632,P22314,Yes
Q9P1W9,P46531,No
Q13239,Q9UKK9,No
P06865,Q99417,No
Q13526,Q9UPT6,No
P07814,Q13765,No
P02647,Q8NG27,No
Q9NQW7,O95994,Yes
Q92540,Q15583,No
Q9UPY8,P56470,No
P63104,O60260,Yes
O75534,P51114,Yes
P47756,P20042,Yes
P04406,P17858,Yes
Q9NWY4,P29350,No
P35080,Q96HL8,No
Q9H0B6,P84077,No
Q9ULU8,Q9NVJ2,No
O00257,P52756,No
Q96B36,P29074,No
Q8N6T3,O96013,No
P30086,Q92963,No
P23284,Q9UNZ2,No
P04899,P20700,Yes
P06730,P05198,Yes
Q9NX46,Q15843,No
P59998,Q9Y295,No
P28289,Q16643,Yes
Q15047,Q9UK61,Yes
Q9NWS0,P61289,Yes
P09104,Q9Y2M5,No
P30281,O60260,Yes
O14678,O43292,No
P23284,P62861,No
Q9H8U3,P01033,No
Q9H0H5,O14737,No
Q9NWV4,Q9BXP5,No
P21246,Q15262,No
Q16621,P11172,No
Q8WWQ0,P48443,No
O76061,P50591,No
Q15262,O60828,No
Q9GZT6,P55316,No
Q9NQW7,P22061,No
P14866,Q9NYY3,No
Q9UEU0,Q96HL8,No
P59665,Q9NS87,No
Q9NWY4,O15530,No
Q9NPI1,P31943,Yes
Q96GM8,P29074,No
Q06830,P23528,Yes
P68871,Q14061,No
P46379,P06400,Yes
Q15181,P60174,Yes
Q96GD3,O60256,No
P12429,P08758,Yes
P19367,Q9NQW7,No
P60880,Q96Q04,No
O00411,P04637,Yes
Q86VK4,P30086,No
P07858,Q9BSI4,No
O00257,P24522,Yes
P23381,Q9NWZ3,No
Q13636,P68400,No
Q13523,P38936,No
O76061,O43639,No
Q13107,P52209,No
P14635,O94761,Yes
Q04446,P14091,No
P59665,P26885,No
P14902,P50591,No
Q14690,Q9H095,No
Q7L5N1,O95361,No
O00273,P55774,No
P24522,Q9NY59,No
Q9H492,P05388,Yes
P49736,P68036,No
Q9H0B6,Q9BX70,No
Q9Y6N7,P47929,No
P23284,P17028,No
Q13523,P02794,No
O75348,P63279,No
Q96GD3,Q9NZD4,No
P51693,P53621,No
Q00613,Q08116,No
O75398,Q96KB5,No
Q96PU5,P29692,No
Q9H3S7,P35637,No
Q9HCK4,Q8WXF1,No
Q9BXP5,P46531,Yes
Q7L5D6,P14618,No
P14618,Q13765,No
P61088,P04637,Yes
P42858,Q9Y2J2,No
Q15554,Q14697,Yes
P38936,Q9Y2S7,No
P62308,Q6P2Q9,Yes
Q8IX03,Q08345,Yes
P30044,Q96AE4,Yes
Q08495,P50542,No
Q99873,Q9UEU0,No
P08243,Q9NS87,No
P53602,O75381,No
Q15811,P62070,Yes
Q9BSI4,Q14181,Yes
P51693,Q99719,No
Q96CS7,Q99417,No
Q12824,O95989,No
P35914,Q9BPX5,No
Q8IX03,P84090,No
Q15233,Q4VC44,No
Q03393,O14775,No
P55769,P62861,Yes
P09960,Q8WWI1,No
P23528,O15381,No
O00257,P25189,No
P06858,Q9Y343,No
Q8WWQ0,Q99567,No
O60885,O95251,Yes
P36957,O14832,No
P14618,P55769,Yes
O60884,Q8IXH7,No
P11142,Q969G6,No
Q13011,P04156,No
O95166,P55316,No
P63104,Q99759,Yes
O75569,Q86YV5,No
Q16543,P48643,Yes
O76003,P61006,No
P48443,P47756,No
P09104,P52565,Yes
P60709,Q6ZRS2,Yes
Q16643,Q15397,No
Q12962,Q15583,No
Q9NTK5,O00151,No
P68871,Q9NX46,No
P22090,Q14692,Yes
Q8N6T7,Q13200,Yes
O43924,P06396,No
P68036,O60701,No
Q9UNN5,O43809,No
Q12809,O75899,No
P22234,O14531,No
P37268,P49888,No
P68036,Q9UMR2,No
Q9UKM9,O14832,No
P32456,P16152,No
Q9UKV3,P68400,No
P09936,Q14061,No
O75398,P05154,No
Q9H840,Q15910,Yes
P18848,Q5SZQ8,No
P24534,Q9NPJ4,No
P68036,Q9NX09,No
Q99700,Q8WXF1,Yes
Q6IAA8,Q9BX70,No
P48443,Q9Y6N7,No
P11021,P14314,Yes
P00505,P30044,Yes
P32456,P04792,No
Q9Y2W2,O75899,No
Q9NP59,Q14203,No
P04637,O00220,Yes
Q8NFP7,O14737,No
Q13547,P00505,No
Q07866,P46531,No
Q9UKV3,Q9UBS3,No
P14618,P05388,Yes
P19419,P07737,No
P08670,O15169,No
P59998,P00742,No
Q8WWQ0,O00560,No
P02766,Q92481,No
P08670,P22061,No
P30153,P62861,No
Q6P2Q9,P06396,Yes
P18848,Q96KS0,Yes
Q14690,Q9Y265,No
P04406,P07237,No
Q99584,Q8N8Q3,No
P32456,O60885,No
Q14524,O14744,Yes
O75569,Q9BV38,No
Q9Y296,P04792,No
Q9UPT6,Q9Y2S7,No
Q8WYH8,Q13867,No
P07900,P63279,No
P32456,Q99719,No
P22234,P00966,Yes
O75962,Q9BY11,No
P17174,Q99417,No
P00797,O14777,No
Q96E40,Q8WXF1,No
P53350,Q9NYQ6,No
Q05516,Q99567,No
Q969G6,Q03405,No
P12956,Q969H8,No
Q13523,P12931,No
Q9Y6K8,Q9NTK5,No
P50570,Q7Z3C6,Yes
O15270,Q8NBP7,Yes
P14902,O60315,No
P42773,Q8TBC4,No
P42858,P37198,Yes
P12004,Q96AP0,Yes
Q9NYY3,P07737,No
Q9NXU5,Q9NQW7,No
P27694,P00390,No
P30533,P55081,Yes
Q6P1J9,O95994,No
P26641,Q9UQL6,Yes
Q92692,P12830,Yes
O94761,O15169,No
Q92956,Q16760,Yes
Q14558,O75319,No
Q9Y2U9,P80098,No
Q12824,P23921,No
O76061,Q86VK4,No
O76061,P14174,No
P01111,P02008,Yes
Q13107,Q8N8Q3,No
Q08345,Q9Y2S7,No
Q8TEY7,O95361,No
Q7L5D6,P00491,No
P08670,P17540,No
P51114,P55212,No
Q8NE71,Q15560,No
Q96CD2,P25445,No
Q7Z3C6,Q00536,No
P12956,Q7LDG7,No
P02771,Q15046,No
P55789,O43765,No
Q04724,P61289,No
O75400,Q13332,No
P00533,P60520,Yes
O95630,P40926,No
P11021,Q16643,No
Q01082,Q9NPA8,No
Q9Y2S7,O95989,No
Q13501,P41220,No
O75525,O75569,No
P55789,P24666,No
P11441,P50402,Yes
Q9UPY8,Q16643,Yes
Q9NVJ2,P58340,No
P05090,P31943,No
P19838,Q16658,Yes
Q9UKM9,Q86VP1,No
P29074,Q13765,No
P60033,Q9NY59,No
O60493,P53041,No
P60709,P63104,Yes
P60520,P53041,No
Q9Y296,Q9NZM3,No
O60493,Q13232,No
O96013,Q14204,Yes
Q9H3S7,O95372,No
Q13813,P06396,Yes
P08670,Q6P2Q9,Yes
O60260,Q8NCC3,No
P68104,P19419,No
P30153,Q99700,No
O95376,O60885,Yes
Q08495,P01111,No
Q13813,Q13148,No
P35219,Q96EA4,Yes
P18669,Q9H3H3,No
Q13239,O15496,No
Q96C03,O43583,Yes
P02771,P62308,No
P23246,P51784,No
Q9NTX7,P07437,Yes
Q15645,Q9UK32,No
P14866,Q9HCU9,Yes
Q9BZI7,P20042,No
Q92597,P63279,No
Q92598,Q13951,Yes
Q16643,P15882,No
Q9Y265,Q13409,Yes
P54578,Q92598,Yes
Q08379,P45984,No
P68871,P63104,No
P26641,Q969W0,No
P05388,Q6P2Q9,Yes
P63000,Q9H0B6,Yes
P63104,Q8IXH7,Yes
Q96GM8,Q96HS1,No
Q16643,P61077,No
Q13239,P61769,No
P42858,P02774,No
O75689,P09211,No
P59998,Q9HD15,No
P18848,Q9UNI6,No
Q6PI98,P16220,No
P00533,P05026,No
P00797,Q969H8,No
Q8NFP9,Q9UK61,No
O43252,P13727,No
Q6PI98,Q03405,No
Q9Y294,O95989,No
P05413,Q13232,No
Q15910,Q9H7H0,Yes
P49321,O95166,No
P02647,P34913,No
Q12772,O14832,No
O95639,P40926,No
P39748,P12004,Yes
P62937,P58340,No
Q93015,Q86YV5,No
P02787,P35219,No
Q15181,O95571,Yes
Q96GD4,Q92993,Yes
Q9NZD4,O43390,No
P04637,Q14204,Yes
Q8TEY7,P32942,No
P29692,P34913,No
P68104,Q8WUM4,No
Q15059,Q9UER7,Yes
Q969X6,P22090,Yes
Q12906,Q9UQ80,Yes
O95273,Q8N6T7,Yes
P04406,P60709,Yes
P43034,P52756,No
Q93091,P52757,No
Q96GD4,Q16643,Yes
Q9UQ80,Q9NX58,Yes
Q96RL1,Q9BXJ8,No
O00329,P21695,No
P04637,Q9BY11,No
Q7L5D6,Q8TBC3,No
P06858,Q9P2R6,No
O00762,P22061,Yes
Q7Z3C6,P11166,No
Q9UNN8,Q12988,No
P11142,Q96HS1,No
Q07869,Q9UQL6,Yes
P29692,Q93077,No
P06858,Q12929,No
Q96GD3,Q9Y4W6,No
P21741,Q15811,No
P24522,Q9BPU6,No
Q9H0H5,P11166,No
P68032,O43252,No
Q9NTM9,Q15005,No
Q9H832,P80098,No
O75674,P12931,Yes
O14775,P62820,No
P35998,P62826,No
Q96CS7,Q7LDG7,No
P16403,P51784,No
P21579,P51784,No
Q9BYC9,P45984,No
Q9BXR0,Q9BXJ8,No
O43924,Q9H095,No
P13686,P34896,No
P68871,P52788,No
Q96GD4,P50914,Yes
P27986,P21741,Yes
Q9NVX7,P49888,No
Q09472,Q96GD4,Yes
O60260,O15496,No
P21246,P35914,No
Q9UPY8,P09104,No
Q03164,P16220,Yes
Q8WY91,P55789,Yes
Q00610,Q13227,No
P53350,P63167,No
P16220,P42356,No
P19419,Q9NUT2,No
Q9NTG7,Q8WWI1,No
P24394,P55316,No
Q8IX03,Q13332,No
P52209,P17174,Yes
Q08945,P98175,Yes
Q04446,Q8N2Y8,No
Q8IWV7,Q12809,No
Q71U36,P63104,Yes
Q99700,Q92540,Yes
P28066,O94761,Yes
P09467,P62995,No
Q9NWV4,P16284,No
P05388,Q9Y483,No
P12956,Q5SZQ8,No
P35579,P63279,No
Q96CS7,Q9UNE7,No
P46379,O43927,No
Q15262,P51784,No
P16220,P55769,No
Q13148,Q15397,No
O00273,P12931,No
P02792,P32249,No
Q9BXR0,P59665,No
Q03393,P42356,No
P23284,Q9UQ90,No
P51693,O43504,No
Q9NVX7,Q8TF65,No
O75674,O43927,No
P42858,P22736,No
Q9BYC9,P47929,No
P14866,O95696,No
Q9NXU5,Q9UNN8,No
O75674,P84090,No
P13747,Q8IYB7,No
P06576,O75899,No
Q9H3S7,Q96AE4,No
P18206,O60315,No
Q9Y4A5,Q6PI98,Yes
Q9BXR0,Q9H5I1,No
Q12962,P63279,No
Q9Y237,Q8WXF1,No
P09326,P47929,No
Q9NRS6,O60828,No
O43312,Q9BY11,No
Q96GM8,Q16658,No
P24394,P55854,No
Q9P298,Q8IXH7,No
P30153,P15090,No
Q9UKY1,O95696,No
Q9Y296,Q15645,No
Q9UPT6,P30044,No
O76061,Q9ULC4,No
P07900,Q13636,No
P19419,Q9GZU1,No
O75962,P41220,No
Q9UPT6,P01040,No
Q13523,Q8TBC4,No
P60709,P24666,Yes
P23381,Q96BY9,No
O94762,P00533,Yes
P04637,P20700,Yes
Q86VK4,P20042,No
P14091,P04183,No
Q9UBQ0,P52756,No
P40925,P63104,No
O60671,P07108,No
P21246,P46531,Yes
Q96CD2,P22234,No
P09467,Q86YL7,No
O75874,P60484,Yes
Q9UEU0,Q9Y2V2,No
P18858,P21127,No
Q00613,Q13547,Yes
P35080,Q9Y295,No
Q14181,O75936,No
Q13813,Q14061,No
O14976,Q149N8,No
O14678,Q03013,No
O60260,Q9Y6H5,Yes
O94761,P05198,Yes
P12931,P08631,Yes
P05556,P04406,Yes
Q99250,Q9NTM9,No
Q9H8U3,Q13148,No
Q13501,P42330,No
P02775,P07737,No
P17174,P23246,No
P11142,Q9H1I8,No
Q00613,P04181,No
P22234,P58340,No
O95639,Q9BXJ8,No
P19256,O95994,No
Q6P1J9,P68402,No
Q8IWV7,Q86YV5,No
P09651,Q9GZQ8,No
Q9NQW7,Q8TBC4,No
Q9Y5U2,O00305,No
P47756,P54578,Yes
P12830,P07814,Yes
Q12906,Q99873,Yes
Q13438,P23284,Yes
Q8WXF1,P62995,Yes
Q9UM54,P63279,No
P14866,Q13011,Yes
P63167,Q92956,No
Q05516,Q13765,No
O14775,O15496,No
Q9H1J1,Q9NX18,No
O00445,P06396,No
P27694,O95994,No
Q9NVJ2,P02768,No
O60256,O75569,No
Q9Y294,Q9UKK9,No
P02775,O43927,Yes
P11169,P56192,No
Q92597,P54274,No
P06858,P05026,No
Q96B02,O75319,No
O43924,Q96EP1,No
P03950,Q14061,No
Q9UM54,P25189,No
P51693,P21127,No
Q8N8Q3,Q09472,No
O14744,Q14203,No
P49903,Q96EA4,No
Q15022,Q99496,Yes
Q9NXU5,P43235,No
O60256,O00267,No
Q13838,P63208,No
P10451,P14618,Yes
Q9Y5U2,Q9Y343,No
Q93015,P58340,No
Q9NRS6,Q7LDG7,No
Q9UPY8,P58340,No
P60033,P01023,No
P51114,Q53FA7,No
Q9P1W9,O15530,No
P46379,Q9Y233,No
Q16539,P78417,No
P49321,P52565,No
Q9Y237,O00267,Yes
P32249,O43927,Yes
P05413,O60502,No
Q14790,P49903,No
P49903,P05413,No
Q9P287,O75689,No
O95994,P07437,Yes
Q969X0,Q9NUT2,No
Q16643,Q9BV38,No
Q9Y2W2,Q9UNI6,No
Q14181,Q96IZ0,No
P31943,P08133,Yes
P47224,Q13547,No
Q00536,P33552,Yes
Q8N6T3,P51693,No
P27707,P21695,No
Q9H063,P13727,No
Q08945,P78560,No
O95251,Q12852,No
P62995,P05109,No
P35475,P19367,No
Q96GD4,P04049,Yes
Q8IWR0,P11166,No
Q9P1W9,Q969H8,No
Q8NFZ0,P0CG48,Yes
P51784,O95696,Yes
P04792,Q8WUM4,Yes
O60493,O75534,No
P23246,P02008,No
Q13547,O95994,No
Q9C026,Q13867,No
Q9Y6I3,P62979,Yes
Q14240,P41567,Yes
Q92692,P16435,No
P35269,P52298,Yes
P02792,P08243,No
O43570,P62861,No
O95704,O75569,No
P00797,P51784,No
P02792,P05026,No
P04637,P68871,Yes
P52788,O95994,Yes
Q8IX03,P42568,No
Q15434,P30533,No
Q9NZD4,P26885,No
Q9Y5U2,Q8NFZ0,No
P11142,P68104,Yes
P60174,Q9UBQ0,No
Q9P1W9,P39748,No
P51693,P50336,No
P07814,P02792,No
Q96GM8,O15235,No
Q7L5N1,O95831,No
P11142,Q9BVJ7,No
P04637,Q8IYT8,No
Q13526,O00267,No
P21549,Q15046,No
Q7L5N1,P01040,No
P12429,O75899,No
P68036,Q15907,No
Q969G6,P22736,No
P49736,Q6IBS0,No
Q96IZ0,O95425,No
Q13523,O95425,No
P50213,P61088,Yes
Q9UM54,P08133,No
Q13885,O95166,Yes
P11142,P04637,Yes
P55209,P24522,No
P07814,P05387,Yes
Q7L014,P52298,Yes
P35080,P04181,No
P42356,P51513,No
P02792,O60543,No
P11597,Q9NQW7,No
P63208,Q06830,No
Q14790,P46531,No
P46379,O75208,No
P09651,Q9BZI7,Yes
P59665,Q92963,No
O95704,Q9NPJ4,No
P26641,P19793,No
P61956,P14314,No
Q9NQW7,Q9NZM3,No
Q08345,P41250,No
P68104,Q9BXP5,No
Q9NPI1,P15090,No
P27448,Q6IAA8,No
P22670,P49448,No
P24394,Q9BWV1,No
Q8N6T3,P09211,No
P13747,O75569,No
P00918,P51671,No
Q9UKM9,O60543,No
P23246,P27986,Yes
O14976,P08133,No
O60671,Q9NWZ3,No
Q9NWS0,P35579,Yes
O76003,P07237,No
O75569,P50914,Yes
Q9Y237,Q14318,No
P09104,P56192,No
P59998,P01270,No
O15530,Q08945,No
O95166,P22061,No
O00422,Q9UKK9,No
P23381,Q96AE4,No
P42858,P05231,No
Q12852,Q92481,No
Q9UNN5,P07108,No
Q15233,P23246,Yes
O95639,P00505,No
P53621,O94762,No
P30153,P08758,No
Q14558,Q9Y6Y0,Yes
P38936,P62308,No
P19793,Q09472,Yes
Q8NEV4,Q7LDG7,No
Q12824,P60174,Yes
Q16827,Q13765,No
P42858,P07737,Yes
P22670,P83916,No
P0CG48,P30153,Yes
P26447,P08758,Yes
Q8NFP9,P01033,No
Q16621,P55316,No
Q13885,Q9NZL4,No
P19367,Q12824,No
O95251,P33240,No
Q9H4M7,Q13330,Yes
Q9UKY1,P07108,No
Q96BY9,Q9Y343,No
Q9H4M7,P35914,Yes
P21964,P05091,Yes
Q13158,P26885,No
Q01101,Q8N6T7,No
Q07666,Q9BXR0,No
P02792,P62979,No
P56470,P04792,No
O15197,P68400,No
Q13432,P07858,No
P53350,P50591,No
Q9UIF7,P42330,No
P19419,P35609,No
P42773,O75251,No
P55209,O94761,Yes
Q9NXU5,Q9H1J1,No
P02775,P51114,No
Q8NEV4,O14678,No
P04406,Q02363,No
O75348,P08133,No
P31689,P55854,No
Q9HA47,Q99417,No
O94761,Q9NX58,Yes
O75828,Q92575,No
P27707,P08758,No
P68871,Q14790,No
Q15233,Q9UMR2,No
P06730,Q92540,Yes
Q96P48,Q9UM54,No
Q96S52,Q14790,Yes
O43156,P00533,Yes
P49321,O00305,No
Q9H3S7,Q8TF65,No
Q14790,P12830,Yes
Q16621,P20338,No
Q9H1J1,Q00536,No
O60885,Q96GD4,Yes
P05091,P18858,No
P07900,O00762,No
Q07666,O60701,No
Q96GD4,Q9BQ04,No
P00918,Q8TF65,No
P09211,O95166,Yes
P08670,P63208,No
O15169,Q9Y233,No
P51671,P40926,No
P62820,Q15388,Yes
Q04724,Q9Y2V2,No
P21246,Q14919,No
Q99250,Q9UBS3,No
Q08379,Q9NYY3,No
Q15560,O00267,Yes
Q13885,Q9H1I8,No
P19256,P56192,No
Q9NXU5,Q9GZQ8,No
P27694,Q06609,Yes
Q00610,Q9BV38,No
Q12988,P07900,Yes
P14902,Q13113,No
P68036,Q8IVM0,No
Q13813,Q96B02,No
O00257,Q6PD74,No
Q12852,Q8NFP7,No
O95163,Q9P287,No
Q8TDM6,P60174,No
O14907,Q8N2I9,No
Q9HC35,Q9BXJ8,No
Q06323,Q04446,No
P62979,Q93077,Yes
O60884,Q92598,Yes
P35475,O14717,No
P08670,Q9NRC8,No
O60828,Q08945,Yes
O00541,Q16658,Yes
P09960,Q8IYB7,No
Q9P2J2,P22314,No
Q92692,P07305,No
Q01082,Q9UQB8,No
Q9BYW2,Q71DI3,Yes
P46379,O76071,No
Q9UIF7,P01215,No
P32249,P62873,Yes
P55789,Q8N2Y8,No
P61956,O95445,No
Q08345,O60828,No
O14893,O43390,Yes
Q92692,O14832,No
P59998,P60709,Yes
P35080,O96013,No
Q08379,Q53EZ4,Yes
P04179,O14526,No
O94761,Q9UNE7,Yes
Q9NWY4,Q8N2Y8,No
P02766,Q9UHF0,No
P20042,P55769,Yes
O14678,Q8NFZ0,No
P01111,Q8IYB7,No
Q13813,P35637,No
P23284,O14678,No
P30153,P02774,No
Q8TBC3,P60033,No
O95445,O14717,No
Q9BUL5,Q6IBS0,No
P53350,Q9UNE7,No
Q9NTK5,P68036,No
P56470,P49736,No
P55209,Q9UNN8,No
Q9Y4P1,Q9H4M7,Yes
Q9H4M7,P17858,Yes
Q8WWI1,Q12906,Yes
Q9NQW7,Q92990,No
P22392,P50616,No
Q13239,Q99567,No
P46379,P09651,No
P18848,Q9BWV1,No
Q13148,P55212,No
Q969W0,Q9UK32,No
Q13813,P41567,No
Q53H47,Q9NZD4,No
P09467,O95445,No
P51114,P08559,No
Q6IAA8,P60763,Yes
Q6P1J9,Q9HD15,No
Q12852,Q12929,No
P05026,Q9NQC3,Yes
P47929,O14531,Yes
Q7L2H7,Q9UQL6,No
